Rel Name,from.type,from.name,from.revision,to.type,to.name,to.revision,Override Settings,Create Trigger,Modify Trigger,Delete Trigger
Classified Item,Document Family,06-技术变更通知单,B89C1076000048F85B752065000014E1,Document,P-VD-06-0015-2020,0,,,,
Classified Item,Document Family,05-技术通知单,B89C1076000048F85B752065000014E1,Document,P-VD-05-0008-2020,0,,,,
Classified Item,Document Family,05-技术通知单,B89C1076000048F85B752065000014E1,Document,P-VD-05-0015-2020,0,,,,
Classified Item,Document Family,05-技术通知单,B89C1076000048F85B752065000014E1,Document,P-TM-05-0009-2020,0,,,,
Classified Item,Document Family,24-产品实施通知单,B89C1076000048F85B752065000014E1,Document,P-VD-24-0006-2020,0,,,,
Classified Item,Document Family,24-产品实施通知单,B89C1076000048F85B752065000014E1,Document,P-VD-24-0019-2020,0,,,,
Classified Item,Document Family,24-产品实施通知单,B89C1076000048F85B752065000014E1,Document,P-TM-24-0022-2020,0,,,,
Classified Item,Document Family,24-产品实施通知单,B89C1076000048F85B752065000014E1,Document,P-VD-24-0021-2020,0,,,,
Classified Item,Document Family,06-技术变更通知单,B89C1076000048F85B752065000014E1,Document,P-VD-06-0016-2020,0,,,,
Classified Item,Document Family,24-产品实施通知单,B89C1076000048F85B752065000014E1,Document,P-VD-24-0004-2020,0,,,,
Classified Item,Document Family,06-技术变更通知单,B89C1076000048F85B752065000014E1,Document,P-VD-06-0032-2020,0,,,,
Classified Item,Document Family,24-产品实施通知单,B89C1076000048F85B752065000014E1,Document,P-VD-24-0003-2020,0,,,,
Classified Item,Document Family,24-产品实施通知单,B89C1076000048F85B752065000014E1,Document,P-VD-24-0005-2020,0,,,,
Classified Item,Document Family,05-技术通知单,B89C1076000048F85B752065000014E1,Document,P-VD-05-0017-2020,0,,,,
Classified Item,Document Family,06-技术变更通知单,B89C1076000048F85B752065000014E1,Document,P-TM-06-0017-2020,0,,,,
Classified Item,Document Family,06-技术变更通知单,B89C1076000048F85B752065000014E1,Document,P-VD-06-0020-2020,0,,,,
Classified Item,Document Family,06-技术变更通知单,B89C1076000048F85B752065000014E1,Document,P-VD-06-0019-2020,0,,,,
Classified Item,Document Family,06-技术变更通知单,B89C1076000048F85B752065000014E1,Document,P-VD-06-0021-2020,0,,,,
Classified Item,Document Family,24-产品实施通知单,B89C1076000048F85B752065000014E1,Document,P-TM-24-0007-2020,0,,,,
Classified Item,Document Family,24-产品实施通知单,B89C1076000048F85B752065000014E1,Document,P-VD-24-0008-2020,0,,,,
Classified Item,Document Family,06-技术变更通知单,B89C1076000048F85B752065000014E1,Document,P-VD-06-0022-2020,0,,,,
Classified Item,Document Family,24-产品实施通知单,B89C1076000048F85B752065000014E1,Document,P-VD-24-0009-2020,0,,,,
Classified Item,Document Family,24-产品实施通知单,B89C1076000048F85B752065000014E1,Document,P-VD-24-0013-2020,0,,,,
Classified Item,Document Family,05-技术通知单,B89C1076000048F85B752065000014E1,Document,P-TM-05-0021-2020,0,,,,
Classified Item,Document Family,新物料开发申请表,B89C10760000C0885E59B210000001B9,ZTENEWTZD,DOC-0002527,0,,,,
Classified Item,Document Family,2021B89C10760000C0885E59B1DA00000145,B89C10760000C0885E59B1DA00000145,ZTENEWTZD,P-05-0223-2021,0,,,,
Classified Item,Document Family,新物料开发申请表,B89C10760000C0885E59B210000001B9,ZTENEWTZD,DOC-0002528,0,,,,
Classified Item,Document Family,05-技术通知单,B89C1076000048F85B752065000014E1,Document,P-VD-05-0018-2020,0,,,,
Classified Item,Document Family,24-产品实施通知单,B89C1076000048F85B752065000014E1,Document,P-VD-24-0016-2020,0,,,,
Classified Item,Document Family,05-技术通知单,B89C1076000048F85B752065000014E1,Document,P-VD-05-0019-2020,0,,,,
Classified Item,Document Family,06-技术变更通知单,B89C1076000048F85B752065000014E1,Document,P-VD-06-0029-2020,0,,,,
Classified Item,Document Family,24-产品实施通知单,B89C1076000048F85B752065000014E1,Document,P-VD-24-0012-2020,0,,,,
Classified Item,Document Family,05-技术通知单,B89C1076000048F85B752065000014E1,Document,P-VD-05-0020-2020,0,,,,
Classified Item,Document Family,24-产品实施通知单,B89C1076000048F85B752065000014E1,Document,P-TM-24-0010-2020,0,,,,
Classified Item,Document Family,24-产品实施通知单,B89C1076000048F85B752065000014E1,Document,P-VD-24-0014-2020,0,,,,
Classified Item,Document Family,2022第4季度,B89C1076000188E461D3A31400001D55,ZTENEWTZD,P-06-0746-2022,0,,,,
Classified Item,Document Family,06-技术变更通知单,B89C1076000048F85B752065000014E1,Document,P-VD-06-0024-2020,0,,,,
Classified Item,Document Family,06-技术变更通知单,B89C1076000048F85B752065000014E1,Document,P-VD-06-0025-2020,0,,,,
Classified Item,Document Family,06-技术变更通知单,B89C1076000048F85B752065000014E1,Document,P-VD-06-0026-2020,0,,,,
Classified Item,Document Family,06-技术变更通知单,B89C1076000048F85B752065000014E1,Document,P-VD-06-0031-2020,0,,,,
Classified Item,Document Family,24-产品实施通知单,B89C1076000048F85B752065000014E1,Document,P-VD-24-0017-2020,0,,,,
Classified Item,Document Family,24-产品实施通知单,B89C1076000048F85B752065000014E1,Document,P-VD-24-0015-2020,0,,,,
Classified Item,Document Family,05-技术通知单,B89C1076000048F85B752065000014E1,Document,P-TM-05-0022-2020,0,,,,
Classified Item,Document Family,24-产品实施通知单,B89C1076000048F85B752065000014E1,Document,P-TM-24-0011-2020,0,,,,
Classified Item,Document Family,06-技术变更通知单,B89C1076000048F85B752065000014E1,Document,P-VD-06-0030-2020,0,,,,
Classified Item,Document Family,24-产品实施通知单,B89C1076000048F85B752065000014E1,Document,P-VD-24-0018-2020,0,,,,
